Name,Ward,Address,Landline Nos.,Class from,Class to,School Type,Website,Email,BMC Dept.,Twitter Handle,Direction,
Mohammed Umar Rajjab Mumbai Public Municipal School,E,"Umar Rajjab Road,Madanpura, Mumbai 400008.",022-9825362,0,4,3-Co-educational,,mohammedumarrajjabmps@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9642279992302,72.8280299998486",
KAMATHIPURA MUN UP HINDI,E,kamathipuranagpadamumbai,022-0,1,8,3-Co-educational,,bharatvasave87@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.964429999788,72.8280370001819",
KHANDIYA STREET URD VOC MUN,E,"T.B.V.MARG, KAMATIPURA, MUMBAI-400008",022-0,1,7,3-Co-educational,,khandiastreeturdu@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9646420000592,72.8276239993722",
MUN KAMATHIPURA GUJ UP,E,"KAMATHIPURA 5TH LANE, NEAR POLICE CHOWKI BIT NO.2, OPP. SHUKLA STREET,NAGAPDA, MUM-400008",022-0,1,8,3-Co-educational,,mulibenm@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9643600000857,72.8280960002569",
NAGPADA MUN URD,E,49 Mastan Tank Road nagpada Mumbai 400008,022-0,1,4,3-Co-educational,,nagpada49@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9642240007825,72.8298480002407",
UNDRIYA STREET MUN URD,E,Nagpada LP Urdu School Mum 400008,022-23000053,1,7,3-Co-educational,,underiastreet@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9642969998957,72.8295329998025",
NAGPADA MUN SEC SCH,E,Nagpad mun sec school,022-23000285,5,10,3-Co-educational,www.udiseplus.gov.in,enagpada.munschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9644370003411,72.829963000159",
NAWAB TANK MUN TAMIL SCHOOL,E,"SAIFEEPARK,DR.MASCARENHAS RD, OPP-MAZGAON POST OFFICE, MAZGAON MUMBAI-10",022-0,0,8,3-Co-educational,,nawabtanktamilschool@gmail.com,Education Dept,@mybmcedu,https://www.google.com/maps/search/?api=1&query=18,
NEW MAHIM MUN ENG LP,G / N,"NEW MAHIM MUNICIPAL UPPER PRIMARY ENGLISH SCHOOL M.M.C ROAD, MAHIM WEST, MUMBAI",022-24440259,0,8,3-Co-educational,,newmahimenglish@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0389009996193,72.8443309996993",
R C MAHIM MUN SEC SCHOOL,G / N,second l j cross rd mahim mumbai 16,022-0,5,10,3-Co-educational,,gnrcmahimmssurd@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0398000001495,72.8408100002886",
MAHIM MUN SEC SCHOOL,G / N,Mmc Cross Road No-3 Mahim West Mumbai-4000016,022-0,5,10,3-Co-educational,https://education.maharashtra.gov.in/saral/27221100252,gnmahimmssmar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0389430000319,72.8439529999077",
RAJSHRI SHAHU NGR MUN URD1,G / N,NEAR TATA POWER AND SHALIMAR INDUSTRY,022-24010373,0,8,3-Co-educational,,rsnagarurdu1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0383240001232,72.8511479999287",
RAJSHRI SHAHU NAGAR MUN UP ENG,G / N,SHAHUNAGAR JASMINE MILL ROAD MAHIM MUMBAI-17,022-24010396,1,7,3-Co-educational,,manpritikaur@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0348129999698,72.8524950003399",
RAJSHRI SHAHU NGR MUN UP MAR2,G / N,"Shahunagar ,Yasmin Mill Road ,Mahim ,Mumbai-17",022-24010434,1,7,3-Co-educational,,sangitabandiwadekar1071@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0382369993858,72.8511079996635",
RAJSHRI SHAHU NGR HINIDI,G / N,"Shahunagar Yasmin Mill Road ,Mahim ,Mumbai -17",022-24010446,1,8,3-Co-educational,,vakilkumarjaisal@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0351970000551,72.8527779996943",
RAJARSHI SHAHUNAGAR MUN UP TELUGU SCH,G / N,"R.S Nagar telugu School, Matunga labour Camp, Mahim 400017m",022-0,1,7,3-Co-educational,,padmaskatta64@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0372960002851,72.8532439992982",
MATUNGA LEBAR CAMP UP MAR 1,G / N,MATUNGA LABOUR CAMP NEAR TATA POWAR COMPANY KATARIA ROAD MATUNGAR,022-24010509,0,7,3-Co-educational,,harshadabangar67@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0343250001906,72.8538920002129",
RAJSHRI SHAHU NGR MUN UP URD 2,G / N,NEAR TATA POWER AND SHALIMAR INDUSTRY,022-0,1,4,3-Co-educational,,rsnagarurdu02@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0345800000119,72.8535969995947",
RAJARSHI SHAHUNAGAR UP TAMIL SCH,G / N,"Shahunagar, Jasmin Mill Road ,Mahim, Mumbai-17",022-24010578,1,7,3-Co-educational,,marysahayajohn@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0350900005407,72.8526009992421",
DHARAVI MUN URD 1,G / N,"Irani Chawl, Near Dharavi Restaurant, Mai Road , Dharavi Mumbai",022-0,1,4,3-Co-educational,,dharavixrdurdu1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0436070000058,72.8513379998366",
DHARAVI CROSS ROAD LP URDU SCHOOL NO.2,G / N,"Jaygi Bhimji Buldg bhatiya Nagar,dharavi main road dharavi 400017",022-0,1,4,3-Co-educational,,dharavilpurduschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0432119995932,72.8510029998255",
SANT KAKKAYA MRG UP MAR 1,G / N,178 DHARAVI SOUTH MUMBAI,022-0,1,8,3-Co-educational,,meerachavan22@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0394790000947,72.8574600000152",
SANT KAKKAYA MRG MUN UP MAR 2,G / N,DHARAVI CROSS ROAD DHARAVI MUMBAI 17,022-24010643,1,7,3-Co-educational,,ranjanadongre9090@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0425630003807,72.8545719997401",
SANT KAKKAYA MRG TML 1,G / N,"Sant Kakkaya Marg Municipal U.P. Tamil School, Dharavi, Mumbai-17",022-0,1,8,3-Co-educational,,kakayatamil@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0425399998549,72.8545480005244",
SANT KAKKAYA MRG MUN HINDI 1,G / N,SANT KAKKAYA MARG NEAR AMBEDKAR SCHOOL 90 FEET ROAD DHARAVI 400017,022-0,1,8,3-Co-educational,,skh1dharavi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0425990000736,72.8546009999305",
SANT KAKKAYA MRG MUN UP HINDI2,G / N,"SANT KAKKAYA MARG 90 FEET ROAD , DHARAVI MUMBAI-17",022-0,0,8,3-Co-educational,,pushpakoli84@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0426229997734,72.8548049998409",
SANT KAKKAYA MRG MUN KAN 1,G / N,90 feet road Dharavi mumbai 400017,022-24010685,1,8,3-Co-educational,,parmeshwarswamy56@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0425020000767,72.8545820000173",
DHARAVI MUN UP MAR,G / N,"DHARAVI U P MARATHI SCHOOL, DHARAVI MAIN ROAD",022-0,1,7,3-Co-educational,,gaikwadarundhati.62@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0447800003447,72.8539929999719",
DHARAVI T.C. MUN ENGLISH SECONDARY SCHOOL,G / N,"M.G.Road, Dharavi, Mumbai 400017",022-24010884,9,10,3-Co-educational,,dtc.engsecschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0421120000874,72.8593770001763",
DHARAVI KALAKILLA MUN MARATHI SEC. SCHOOL,G / N,"SANT ROHIDAS MARG,KALA KILLA DHARAVI MUMBAI 400017",022-0,9,10,3-Co-educational,,hemangibhaigade@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0484279998039,72.8598389998",
DHARAVI T C MUN SEC. MARATHI SCHOOL,G / N,Dharavi T.C Marathi Sec. M.G Road Sion 400017,022-0,9,10,3-Co-educational,,dharavitcmarathisecschool@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0426160005234,72.8592239998188",
DHARAVI T C MUN MAR,G / N,M.G.ROAD BEHIND DHARAVI POLICE STATION,022-0,1,8,3-Co-educational,,dharavitcmarathi301@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0426509998048,72.859376999892",
DHARAVI T C MUN UP ENG NO.1,G / N,"TRANSIT CAMP ,M.G.ROAD,DHARAVI ,MUMBAI-17",022-24010732,1,8,3-Co-educational,,dtceng12018@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0425859999505,72.8594830002956",
DHARAVI TC MUN URDU NO 1,G / N,transit camp Dharavi mumbai,022-0,1,8,3-Co-educational,,suraiyamhanif@gnail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0426200007568,72.8590689998147",
SHRAMIK VIDYAPITH VOC MUN URD,G / N,SION DHARAVI MUMBAI 400017,022-24010752,0,7,3-Co-educational,,rukhsana.shaikh18864@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0426539996768,72.8595750004696",
DHARAVI T C MUN UP TML,G / N,"MG Road, Dharavi, Mumbai 17",022-24010754,1,7,3-Co-educational,,dharavitctamil@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0424089991988,72.8596479996763",
DHARAVI T C MUN ENG NO.-2,G / N,"Transit camp,M.G.Road,Dharavi",022-0,1,8,3-Co-educational,,shaikhshagufta1961@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0426659998824,72.8594610001027",
DHARAVI T C SEC URD,G / N,M G ROAD DHARAVI SION MUMBAI 400017,022-0,9,10,3-Co-educational,,ansarisajidgr0411@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0424080004028,72.8593549996932",
SHRAMIK VIDYAPITH MUN. URD SCH NO.2,G / N,M.G ROAD DHARAVI SION 400017,022-0,0,8,3-Co-educational,,shaikhhawwabi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0426269995452,72.8591739999413",
DHARAVI T C MUN UP URD NO.2,G / N,M.G ROAD DHARAVI SION 400017,022-24010795,1,8,3-Co-educational,,dharavitcurdu02@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0426429993276,72.8589830001418",
SHASTRI NGR MUN LP MAR,G / N,"DILIP KADAM MARG, NEAR HOLY MAIDAN, DHARAVI, MAIN ROAD DHARAVI-400017",022-0,1,4,3-Co-educational,,shastrinagarbmcmarathi1985gn@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.044922000088,72.8539400001475",
KANNAD CHAWL MUN LP TML,G / N,301 RAJGIRSADAN OPP SION RAILWAY STATION SION WEST,022-0,1,7,3-Co-educational,,kannaditamil@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0491330003497,72.8547449998663",
DHARAVI KALAKILLA MUN MAR NO.1,G / N,SANT ROHIDAS MARG DHARAVI 17,022-0,1,8,3-Co-educational,,meena281068@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0484069999682,72.8602969999908",
DHARAVI KALAKILLA MUN UP 2,G / N,"Dharavi ,Mumbai-400017",022-24010807,1,7,3-Co-educational,,dharavimms2@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0468769998856,72.862352999225",
MUMBAI PUBLIC ENG SCH,G / N,sant rohidas marg sion bandra link road dharavi,022-0,1,10,3-Co-educational,www.education.maharashtra.gov.in,christophermary2014@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0497070001263,72.8496199997349",
MAHIM CAUSWAY MUN MAR LP,G / N,"mahim mori rd ,mahim",022-70211541,1,4,3-Co-educational,,asavarinalawade4@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0473869994338,72.8381420000993",
MAHIM MORI ROAD MUN UP ENG,G / N,"Mahim Mori Road,Near Soonawala Agyari Lane, Mahim",022-0,1,8,3-Co-educational,,mahimmoriroad@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0425520001706,72.8419579996443",
MAHIM MORI ROAD MUN UP MAR,G / N,"SUNAWALA AGYARI LANE , MAHIM WEST 400016",022-24440287,1,7,3-Co-educational,,mahim324marathi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0423319994197,72.8420470008017",
MAHIM MORI ROAD MUN URDU NO.1,G / N,near parsi panchayt mori road mahim 400016,022-24440263,1,7,3-Co-educational,,mcgm8213@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0423040005583,72.8421469995331",
MAHIM MORI ROAD URD MUN 2,G / N,Sonawala agiary lane Mori Road Mahim w Mumbai 400016,022-0,1,8,3-Co-educational,,mahim.mori.road.urdu.school2@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0423119995529,72.8420459998919",
MAHIM POLICE COLNEY UP MUN MAR,G / N,S.L.Raheja marg mumbai,022-0,1,8,3-Co-educational,,policecolony16@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0475320000243,72.8419749993809",
LORD HARIES UP MAR SCHOOL,A,"LOKAMANYA TILAK MARGE,DHOBITALAO,MUMBAI 01",022-0,1,8,3-Co-educational,,lordharis01@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9449149999144,72.8309870006704",
COLABA MARKET L.P. MUN MARATHI SCHOOL,A,LALA NIGAM ROAD NEAR MTNL OFFICE MUMBAI NO 5,022-0,0,5,3-Co-educational,,kulabamarket65@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9172340001433,72.8288929996013",
COLABA MUN MARATHI NO 1,A,NARAYAN A. SAWANT MARG COLABA MUMBAI - 05,022-0,1,4,3-Co-educational,,colabamar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9146149996624,72.8267939999909",
COLABA MUN L.P. MARATHI NO. 2,A,N.A.Sawant Marg.Colaba 400005,022-22220201,1,4,3-Co-educational,,colabamcgm02@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9146390000813,72.8267970002137",
COLABA MUN LP HINDI 1,A,"N.A. SAWANT MARG ,COLABA",022-0,1,4,3-Co-educational,https://eeducatin.maharashtra.gov.in/saral/27221200117,colabahindimcgm01@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9144499998873,72.8271040002256",
COLABA MUN LP HINDI 2,A,"N.A. Sawant Marg, sasoon Dock, Colaba , mumbai",022-0,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27221200118,colabahindi02@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9144269995888,72.8271439999017",
COLABA LP URD,A,N.A Sawant Marg sasoon dock colaba 400005,022-2202047,1,4,3-Co-educational,,sayedanjum72@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9146079998503,72.8267809996228",
COLABA MUN LP KAN,A,N A SAWANT MARG COLABA MUMBAI 400005,022-0,1,5,3-Co-educational,www.education.maharashtra.gov.in,colabakannada@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9146389995639,72.826888000251",
COLABA MUNICIPAL ENGLISH UPPER PRIMARY SCHOOL,A,"N.A. SAWANT MARG, COLABA",022-0,1,8,3-Co-educational,www.education.maharashta.gov.in,colabaupengschool05@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9859470006333,72.8274330004787",
COLABA MUN SEC SCHOOL,A,"N.A.SAWANT MARG,NEAR FIRE STATION,SASOON DOCK,COLABA",022-0,5,10,3-Co-educational,,colabasecondary99@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9147970001133,72.8265079993396",
COLABA MUN SEC. ENGLISH SCH.,A,"N.A SAWANT MARG,NEAR NAVY FIRY BRIGADE, COLABA",022-0,9,10,3-Co-educational,,cmses2008@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9142180001955,72.8270799996374",
MANOHARDAS STREET UP MAR MUN,A,MANOHARDAS STREET BMC MARATHI SCHOOL BORIBANDAR FORT MUMBAI 400001,022-22610410,1,7,3-Co-educational,education.maharashtra.gov.in/saral/27221200131,neela15768@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9380239999631,72.836226999601",
BORABAZAR MUN UP HINDI,A,manohardas street fort mumbai,022-0,1,8,3-Co-educational,www.education.maharashtra.gov.in/saral/27221200132,sunitachaurasia48@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9385849994314,72.8363819999476",
NEW MODY STREET MUN ENG UP SCHOOL,A,"Manohadas Street , municipal school complex, fort ,Mumbai",022-0,1,8,3-Co-educational,,newmodystreet@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9379839999711,72.8362379993053",
MAHATMA JYOTIBA PHULE MPS ENGLISH,A,"C/o janabai aani madhavrao rokde mun. marathi school, 2nd floor, janjikar street, mumbai-03.",022-0,4,7,3-Co-educational,,mjpmpsschool123@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9497070000308,72.8374970001829",
DONGRI MUN LP MAR,B,"Navroji Hill No.7 Dongari, Mumbai No.9",022-0,1,4,3-Co-educational,,dongripri@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9610099995037,72.8378109999925",
BANGALIPURA MUN URD,B,"BANGALIPURA MUN URDU SCHOOL,CARNARC BUNDER,ZANJIKAR STREET,MUMBAI 400003",022-0,1,4,3-Co-educational,education.maharashtra.gov.in,khanshehna3madiha@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9493410004169,72.8374430001521",
JANABAI & MADHAVRAO ROKDE MUN,B,JANABAI AND MADHAVRAO ROKADE UP.MARATHI SCHOOL MASJID BANDER MUMBAI 03,022-0,1,8,3-Co-educational,,janabai.madhvraorokde@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9493989997343,72.8373949996009",
MANDVI MUN UP HINDI,B,navroji hill rd no. 7 dongri,022-0,1,8,3-Co-educational,www.education.maharashtra.gov.in/saral/27221200207,mandvihindi7230@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9613209996765,72.8376940005447",
DONGRI MUN SEC MAR SCHOOL,B,NAVROJI HILL DONGRI MUMBAI 09,022-0,5,10,3-Co-educational,,bmcschooldongri12@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.961052000045,72.8380049997884",
JANABAI & MADH.R.R.NEW SEC MAR SCH,B,MADHAVRAO ROKADE MARG JANJIKAR STREET MASJID BUNDER MUMBAI 400003 MUMBAI 400003,022-0,9,10,3-Co-educational,education.maharashtra.gov.in/saral/27221200211,bjmrokade@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9495570004584,72.8374879992814",
IMAMWADA MUN L.P. URDU SCHOOL,B,IMAMWADA ROAD MUM. 9,022-23704641,1,4,3-Co-educational,https://education.maharashtra.gov.in/saral/27221200215,shahinabutt1@gmail.com,Education Dept,@mybmcedu,https://www.google.com/maps/search/?api=1&query=18.,
WORLI NAKA UP MAR 3,G / S,"DR.ANNIE BESENT ROAD, WORLINAKA, WORLI, MUMBAI-400018",022-24910444,1,7,3-Co-educational,,dipalichavan971@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9975650000254,72.8169939995851",
JIJAMATA NGR MUN URDU,G / S,JIJAMATA NAGAR DR.E.MOSES RD.WORLI,022-0,1,4,3-Co-educational,,kh4n.shakila@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.992382000619,72.8187030006312",
WORLI NAKA MUN UP MAR NO.1,G / S,"Worlinaka marathi school no.1,Dr. annie besant road,near worli petrol pump, worlinaka,mumbai -400018",022-0,1,7,3-Co-educational,,amitasurve62@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9975500002612,72.8169870004522",
WORLI NAKA MUN GUJ UP,G / S,"Dr. Annie besant Road, worli M-18",022-24922406,1,7,3-Co-educational,,sandhyaygohil@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9976769994561,72.8170860008264",
WORLI NAKA MUN UP TML,G / S,"Dr. Annie Besant Road, Worlinaka, Mumbai-400018",022-0,1,7,3-Co-educational,,worlinakatamil@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9974950004006,72.8172069994825",
WORLI NAKA MUN UP HINDI,G / S,"Dr.A. B. Road, Worli Naka, Mumbai-400018",022-0,1,8,3-Co-educational,,tiwarimithi67@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9975689999019,72.8170280004872",
WORLI NAKA MUN URDU,G / S,"DR. A. B. ROAD, WORLI NAKA, WORLI, MUMBAI - 400018",022-24922436,1,7,3-Co-educational,,worlinakaurdu@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9975219996698,72.8173469996901",
LOVEGROVERD PAMPING UP MUN MAR,G / S,dr. annie besant road back to atria mall worli,022-24812404,1,7,3-Co-educational,,lgrsmarathi@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9909060000565,72.8149840000924",
WORLI NAKA UP KAN,G / S,dr annie basent road worli naka,022-0,1,7,3-Co-educational,,shivpotdar06@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9976379997073,72.8167910000788",
LOVE GROVE PUMPING MPS,G / S,DR.ANEE BESANT ROAD BEHIND ATRIA MALL WORLI,022-0,1,10,3-Co-educational,https://education.maharashtra.gov.in/saral/27221100112,lgpmumbaipublics@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9908469991665,72.8148430002571",
GANPATRAO KADAM MARG MUN UP HINDI,G / S,G K MARG HINDI SCHOOL LOWER PAREL MUMBAI 400013,022-0,1,8,3-Co-educational,,yadavprema899@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9980829992009,72.823804999876",
K KHADE MRG MUN UP HINDI 1,G / S,"sant gadadge Maharaj chawk near new shirin talkies ,jecob circle satrasta mahalakshmi,mumbai 11",022-23087654,1,8,3-Co-educational,,rajaninarayane@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9812880001345,72.8253359996862",
K K MRG MUN UP HINDI 2,G / S,"SANT GADGE MAHARAJ CHOWK, JACOB CIRCLE, MAHALAXMI EAST MUMBAI 400011",022-0,1,7,3-Co-educational,,kkmarghindi2@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9812189996171,72.8255839999006",
KESHVRAO KHADE MRG MUN UP MAR,G / S,sath rasta oppoite shirin tokise mahalakshmi mumbai 11,022-0,1,7,3-Co-educational,,bmshirkar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9813400001795,72.8256939995361",
GANPATRAO KADAM MUN MPS,G / S,"G.K.Marg, LowerParel Mumbai 400013",022-0,1,10,3-Co-educational,,chaubeysl65@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9988960003203,72.82428100059",
KESHAVRAO KHADYE MARG HINDI SEC,G / S,"KESHAVRAO KHADYE MARG, ,SAATRASTA MAHALAXMI, MUMBAI-400011",022-0,9,10,3-Co-educational,,gautamnathtiwari@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9811850001547,72.8255719994154",
SHANTI NGR UP MUN MAR,G / S,"Sitaram Mill Compound School, 1st Floor, J.R.Boricha Marg, Mumbai-400011",022-0,1,7,3-Co-educational,,nirmalapatil1765@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9907379996172,72.828768000071",
RAJENDRA MUN MAR,R / C,"RAJENDRA NAGAR, BORIVALI EAST, MUMBAI-400066",022-28709249,1,7,3-Co-educational,,rjnmar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2202309997662,72.8575650002991",
MAGTHANE MUN MAR NO. 1,R / C,MAGATHANE TATA POWER BORIVLI EAST,022-28461734,,1,7,3-Co-educational,,magathanem110@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.219522999862,72.8673629996093"
MAGTHANE MUN MAR NO. 2,R / C,Magathane Mun.Marathi School No.2 Tata Power,022-28843444,1,8,3-Co-educational,,magathanemar111@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2195499996433,72.8673099995027",
RAJENDRA MUN MAR,R / C,"RAJENDRA NAGAR, BORIVALI EAST, MUMBAI-400066",022-28709249,1,7,3-Co-educational,,rjnmar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2202309997662,72.8575650002991",
MAGTHANE MUN MAR NO. 1,R / C,MAGATHANE TATA POWER BORIVLI EAST,022-28461734,1,7,3-Co-educational,,magathanem110@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.219522999862,72.8673629996093",
MAGTHANE MUN MAR NO. 2,R / C,Magathane Mun.Marathi School No.2 Tata Power,022-28843444,1,8,3-Co-educational,,magathanemar111@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2195499996433,72.8673099995027",
RAJENDRA MUN HIN,R / C,"RAJENDRA NAGAR DATTAPADHA ROAD BORIVALI EAST, MUMBAI 400066",022-28705679,1,7,3-Co-educational,,rajendrahindi112@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2200319997393,72.8577670006949",
CARTER ROAD UP MUN TEL,R / C,"Rajendra Nagar, Borivali east, Mumbai-400066",022-0,1,7,3-Co-educational,,vishwanathbdg@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2202049993373,72.8573850003601",
